Fire_ID,Fire_Name,sample_number,Acres,sdc,ln_sdc,mean_para,weighted_core_area,weighted_patch_area,ag_index,patch_area,total_class_area,core_area_index,clumpiness,patch_cohesion_index,core_area,number_of_patches,patch_density,pladj,pland,total_core_area,Year,StartMonth,StartDay,Fire_type,bailey_ecoregion,ecoregion_group,eco_code,sm_rdnbr
CA4007812267920080506,COLYEAR,sample3,1769,0.01978,-3.92324,0.09550488,0,45.81,68.25,1.51,131.04,5.72,0.68,90.24,0.39,87,0.85,66.45,1.28,34.29,2008,5,6,Wildfire,Sierran Steppe,SS,4,0.4087
CA4019912165420120813,MILL,sample3,1970,0.0164,-4.1105,0.094463233,0,67.78,75.93,2.27,102.15,6.28,0.76,93.13,0.92,45,0.5,73.66,1.12,41.49,2012,8,13,Wildfire,Sierran Steppe,SS,4,0.3673
CA4057812346719870830,JESSIE,sample3,3489,0.01909,-3.95857,0.098142969,1.56,21.05,68.62,1.13,127.89,5.24,0.68,86.18,0.37,113,0.84,66.78,0.95,41.4,1987,8,30,Wildfire,Sierran Steppe,SS,4,0.3779
CA4069312281619990702,LOWDEN,sample3,1851,0.01894,-3.96625,0.097008636,0,27.31,67.85,1.74,163.71,3.56,0.67,91.11,0.44,94,0.92,66.25,1.6,41.31,1999,7,2,Wildfire,Sierran Steppe,SS,4,0.525
CA4074212300420060729,JUNCTION,sample3,3332,0.01145,-4.46951,0.097517894,1.72,75.36,75.5,2,251.82,5.13,0.75,91.94,0.82,126,1.04,74.07,2.07,103.14,2006,7,29,Wildfire,Sierran Steppe,SS,4,0.4643
CA4129212028520160917,SOUP 2,sample3,2201,0.0123,-4.39835,0.099614711,6,70.5,78.13,2.27,131.85,5.51,0.78,92.03,1.02,58,0.51,76.08,1.16,59.31,2016,9,17,Wildfire,Sierran Steppe,SS,4,0.3907
CA4139712116519870831,LIGHTNING #120 (CRANK),sample3,3546,0.01532,-4.17883,0.099106191,0.22,40.98,69.12,1.59,310.59,4.86,0.68,90.12,0.48,195,1.33,67.94,2.11,94.32,1987,8,31,Wildfire,Sierran Steppe,SS,4,0.6383
CA4151212231520060224,HOTLUM,sample3,3171,0.03201,-3.44174,0.106703006,0,7.14,53.55,0.56,19.08,0.9,0.53,78.51,0.08,34,0.23,49.76,0.13,2.79,2006,2,24,Wildfire,Sierran Steppe,SS,4,0.5197
CA4159712349220170725,UKONOM,sample3,4226.05,0.01721,-4.06226,0.103609593,0.22,39.1,68.01,1.12,172.08,4.03,0.68,88.3,0.35,154,1.01,66.45,1.13,53.37,2017,7,25,Wildfire,Sierran Steppe,SS,4,0.404
OR4216712308719870830,STAR GULCH,sample3,1771,0.00967,-4.63865,0.098694554,29.58,126.6,81.88,3.14,160.02,6.54,0.82,94.78,1.65,51,0.58,79.92,1.83,84.33,1987,8,30,Wildfire,Sierran Steppe,SS,4,0.4671
OR4231312098120170731,DEVILS LAKE,sample3,1757.63,0.02141,-3.84405,0.09410763,0,12.4,70.4,1,51.12,7,0.7,80.25,0.33,51,0.52,67.43,0.52,16.92,2017,7,31,Wildfire,Sierran Steppe,SS,4,0.5236
OR4310312321919870830,FROZEN CR,sample3,3182,0.01555,-4.16341,0.097327632,0,43.34,73.69,1.84,202.32,5.78,0.73,91.28,0.68,110,0.89,72.13,1.64,75.24,1987,8,30,Wildfire,Sierran Steppe,SS,4,0.4378
CA3606711840020020721,MCNALLY,mega,146540,0.00538,-5.22464,0.101577477,533.18,1459.09,81.15,3.1,15233.31,3.77,0.8,97.6,1.74,4909,2.2,80.95,6.83,8535.15,2002,7,21,Wildfire,Sierran Steppe,SS,4,0.5043
CA3687411890520150801,ROUGH,mega,146370,0.00704,-4.95661,0.097161944,540.74,1283.67,79.1,2.54,8966.52,4.61,0.78,97,1.31,3528,1.95,78.84,4.96,4623.39,2015,8,1,Wildfire,Sierran Steppe,SS,4,0.4055
CA3785712008620130817,RIM,mega,257084,0.00716,-4.93885,0.094988879,276.21,1034.37,79.59,3.13,20690.01,5.59,0.78,97.32,1.61,6615,2.59,79.42,8.09,10641.24,2013,8,17,Wildfire,Sierran Steppe,SS,4,0.4622
CA4004112182419900806,CAMPBELL,mega,128266,0.01875,-3.97636,0.099963291,2.81,62.57,65.87,1.14,3632.94,3.19,0.65,91.18,0.32,3191,2.47,65.55,2.82,1027.17,1990,8,6,Wildfire,Sierran Steppe,SS,4,0.5302
CA4095112320220060902,PIGEON,mega,100961,0.00817,-4.80752,0.099451798,71.31,282.45,79.3,2.38,6567.3,5.05,0.78,94.91,1.25,2755,1.93,79,4.6,3454.38,2006,9,2,Wildfire,Sierran Steppe,SS,4,0.4008
CA4104812343519990927,BIG BAR COMPLEX (MEGRAM),mega,124499,0.0079,-4.84124,0.098386575,165.58,307.3,79.4,2.52,8153.1,5.42,0.78,95.59,1.32,3231,2.16,79.14,5.46,4280.13,1999,9,27,Wildfire,Sierran Steppe,SS,4,0.3624
CA4161412365820080621,SISKIYOU-BLUE 2 COMPLEX (BLUE 2),mega,100823,0.0072,-4.93306,0.094469798,246.8,427.18,80.09,2.48,7192.44,6.26,0.79,95.07,1.34,2899,2.59,79.8,6.43,3893.31,2008,6,21,Wildfire,Sierran Steppe,SS,4,0.3872
CA4179612337420140814,HAPPY CAMP COMPLEX,mega,118491,0.00422,-5.46706,0.09386784,1534.12,2414.82,85.4,4.38,15621.3,6.52,0.83,98.26,2.83,3563,2.95,85.19,12.95,10068.66,2014,8,14,Wildfire,Sierran Steppe,SS,4,0.4809
OR4229712395420170712,CHETCO BAR,mega,194877.04,0.0033,-5.71448,0.093225047,7725.32,9981.2,89.27,9.32,33338.25,7.38,0.87,99.03,6.75,3578,2,89.13,18.63,24146.82,2017,7,12,Wildfire,Sierran Steppe,SS,4,0.5385
OR4244112390420020713,BISCUIT COMPLEX (BISCUIT),mega,495308,0.00509,-5.28123,0.100965648,3797.7,5231.06,82.08,3.47,58478.22,4.59,0.79,98.17,2.03,16837,3.96,81.98,13.74,34252.83,2002,7,13,Wildfire,Sierran Steppe,SS,4,0.5048
CA3549511834020080628,PIUTE,sample_bigger,36251,0.00555,-5.19454,0.093720576,332.81,800.12,84.23,4.85,4146.21,6.5,0.83,97.24,2.93,855,1.65,83.83,8.01,2504.34,2008,6,28,Wildfire,Sierran Steppe,SS,4,0.5578
CA3561311846620160623,ERSKINE,sample_bigger,48067,0.00931,-4.67717,0.097121775,73.92,437.64,78.32,2.96,4121.55,4.84,0.77,96.43,1.45,1392,1.76,77.95,5.22,2022.03,2016,6,23,Wildfire,Sierran Steppe,SS,4,0.4481
CA3574511858420160816,CEDAR,sample_bigger,29191,0.00324,-5.73162,0.096010036,3502.02,10704.18,89.36,10.41,6306.75,5.99,0.88,99.48,7.46,606,1.3,89.02,13.49,4521.96,2016,8,16,Wildfire,Sierran Steppe,SS,4,0.5831
CA3593011818220000722,MANTER,sample_bigger,76158,0.00745,-4.90006,0.104608714,305.16,945.7,77.52,2.45,6867.99,3.06,0.76,97.67,1.21,2803,2.94,77.24,7.21,3382.92,2000,7,22,Wildfire,Sierran Steppe,SS,4,0.554
CA3615911869620170829,PIER,sample_bigger,36626.68,0.00807,-4.81965,0.097890458,54.33,381.75,79.98,2.35,1736.64,5.28,0.79,95.31,1.25,739,1.7,79.4,4,922.77,2017,8,29,Wildfire,Sierran Steppe,SS,4,0.4027
CA3684811827920070706,INYO COMPLEX (OAK),sample_bigger,28447,0.01019,-4.58673,0.098015282,51.13,508.75,78.32,3.5,954.45,4.24,0.78,97.22,1.62,273,0.65,77.56,2.28,441.18,2007,7,6,Wildfire,Sierran Steppe,SS,4,0.5024
CA3760712001520080725,TELEGRAPH,sample_bigger,33479,0.01022,-4.58313,0.09686185,63.02,214.55,76.77,2.34,2719.62,5.64,0.75,95.12,1.08,1162,2.22,76.32,5.2,1256.04,2008,7,25,Wildfire,Sierran Steppe,SS,4,0.4798
CA3761912020720170716,DETWILER,sample_bigger,83296.97,0.02979,-3.51371,0.104968941,0,11.44,54.72,0.53,449.82,1.95,0.55,76.66,0.09,843,0.78,53.94,0.42,74.61,2017,7,16,Wildfire,Sierran Steppe,SS,4,0.3273
CA3773211993719870830,LARSON,sample_bigger,49250,0.0091,-4.69956,0.102605035,110.55,461.85,74.12,1.61,3242.61,3.39,0.73,95.34,0.71,2020,2.91,73.73,4.68,1435.14,1987,8,30,Wildfire,Sierran Steppe,SS,4,0.408
CA3779612006019870830,HAMM,sample_bigger,39333,0.00869,-4.74549,0.101694869,124.3,279.85,76.95,2.82,3998.25,4.44,0.75,96.34,1.32,1417,2.15,76.58,6.07,1865.34,1987,8,30,Wildfire,Sierran Steppe,SS,4,0.4767
CA3791311981819960814,UNNAMED,sample_bigger,58161,0.008,-4.82829,0.094581326,73.41,199.36,81.78,3.13,2897.37,7.45,0.81,94.45,1.76,926,1.26,81.33,3.94,1632.96,1996,8,14,Wildfire,Sierran Steppe,SS,4,0.4176
CA3791712013219870831,PAPER,sample_bigger,49296,0.00573,-5.16256,0.101286152,670.03,903.24,80.24,2.95,4277.52,4.51,0.79,96.7,1.59,1449,1.81,79.87,5.34,2311.02,1987,8,31,Wildfire,Sierran Steppe,SS,4,0.4677
CA3834312069620150909,BUTTE,sample_bigger,72894,0.00847,-4.77066,0.097113313,303.02,2439.09,78.99,2.97,6784.29,5.1,0.77,98.18,1.49,2281,3,78.7,8.94,3399.66,2015,9,9,Wildfire,Sierran Steppe,SS,4,0.4861
CA3838712252020171009,NUNS,sample_bigger,56883.51,0.01337,-4.31441,0.094557961,85.82,139.29,72.65,1.68,2283.75,5.83,0.72,91.54,0.66,1357,1.23,72.19,2.06,896.67,2017,10,9,Wildfire,Sierran Steppe,SS,4,0.317
CA3839112224120171009,ATLAS,sample_bigger,51664.45,0.02097,-3.86476,0.097059602,1.18,54.32,65.38,1.05,1566.81,4.17,0.65,87.92,0.29,1496,2,64.89,2.09,436.95,2017,10,9,Wildfire,Sierran Steppe,SS,4,0.3138
CA3843012209419880917,MILLER,sample_bigger,35750,0.02563,-3.66411,0.10618733,0,18.95,57.54,0.72,828.99,1.82,0.57,86.29,0.13,1154,2.57,56.94,1.85,155.7,1988,9,17,Wildfire,Sierran Steppe,SS,4,0.3288
CA3848811946420020615,CANNON,sample_bigger,25105,0.00326,-5.72492,0.106438901,1341.5,4510.09,88.84,10.95,5411.07,3.96,0.88,99.2,7.76,494,0.84,88.48,9.15,3833.19,2002,6,15,Wildfire,Sierran Steppe,SS,4,0.6602
CA3859812261820171009,TUBBS,sample_bigger,73952.44,0.01435,-4.24423,0.094378166,8.66,124.59,73.61,1.93,1645.92,5.47,0.73,93.25,0.77,855,1.34,73.06,2.58,655.02,2017,10,9,Wildfire,Sierran Steppe,SS,4,0.3621
CA3875712227420041010,RUMSEY,sample_bigger,39335,0.04083,-3.19829,0.106556184,0,4.26,50.16,0.45,328.59,1.96,0.5,68.97,0.05,724,1.11,49.33,0.5,36.63,2004,10,10,Wildfire,Sierran Steppe,SS,4,0.3509
CA3878212060420140913,KING,sample_bigger,99070,0.0028,-5.87891,0.095788428,6406.14,12348.5,90.15,10.47,17487.63,6.71,0.89,99.29,7.78,1670,1.01,89.94,10.59,12985.2,2014,9,13,Wildfire,Sierran Steppe,SS,4,0.5302
CA3880312232819991016,SIXTEEN,sample_bigger,37162,0.02975,-3.51496,0.107916613,0,13.62,53.79,0.56,445.23,1.67,0.53,79.77,0.09,792,1.24,53.02,0.69,68.13,1999,10,16,Wildfire,Sierran Steppe,SS,4,0.3603
CA3884412276020150912,VALLEY,sample_bigger,77507,0.0048,-5.33827,0.095498632,1269.02,4072.87,85.86,6.66,10083.33,5.77,0.84,99.17,4.26,1514,1.32,85.61,8.82,6451.56,2015,9,12,Wildfire,Sierran Steppe,SS,4,0.5828
CA3891212249320150729,ROCKY,sample_bigger,96125,0.00652,-5.03231,0.097437394,380.79,1372.55,81.97,4.41,11924.82,5.19,0.79,98.08,2.47,2705,2.76,81.75,12.16,6675.3,2015,7,29,Wildfire,Sierran Steppe,SS,4,0.6126
CA3911912064620130810,AMERICAN,sample_bigger,27939,0.00758,-4.88203,0.09413205,306.46,732.23,82.1,3.32,2906.46,6.4,0.81,96.51,1.88,875,2.14,81.64,7.11,1642.14,2013,8,10,Wildfire,Sierran Steppe,SS,4,0.51
CA3920212274419960811,FORK,sample_bigger,83209,0.00737,-4.91053,0.103972348,420.45,1359.36,75.75,2.23,9460.17,3.05,0.73,97.32,1.03,4246,3.91,75.52,8.71,4362.75,1996,8,11,Wildfire,Sierran Steppe,SS,4,0.5356
CA3924412120719880911,49R,sample_bigger,36673,0.00857,-4.75935,0.100394717,220.45,970.26,78.34,2.55,2383.74,3.62,0.78,97.72,1.25,936,1.46,77.86,3.72,1174.32,1988,9,11,Wildfire,Sierran Steppe,SS,4,0.4084
CA3931312322020171009,REDWOOD VALLEY INCIDENT,sample_bigger,36545.67,0.01202,-4.4211,0.093694629,28.52,273.38,75.99,2.29,2561.58,5.78,0.75,95.29,1,1121,2.26,75.54,5.16,1125.45,2017,10,9,Wildfire,Sierran Steppe,SS,4,0.394
CA3931912270720120707,MILL,sample_bigger,29924,0.00679,-4.99286,0.09931543,480.74,842.84,79.39,2.34,2419.56,4.38,0.78,96.5,1.23,1036,2.75,78.9,6.42,1277.46,2012,7,7,Wildfire,Sierran Steppe,SS,4,0.5437
CA3939912270520010808,TROUGH,sample_bigger,25270,0.00886,-4.72645,0.100981873,156.6,418.87,78.03,2.19,2030.04,4.48,0.77,95.51,1.09,929,2.03,77.51,4.44,1013.76,2001,8,8,Wildfire,Sierran Steppe,SS,4,0.4825
CA3954212303919870831,MENDENHALL,sample_bigger,54162,0.00524,-5.2509,0.101354403,1663.06,5005.64,83.32,4.68,9092.52,4.21,0.82,98.96,2.78,1941,2,83.06,9.39,5394.15,1987,8,31,Wildfire,Sierran Steppe,SS,4,0.5297
CA3960112019319940816,COTTONWOOD,sample_bigger,47912,0.00697,-4.96556,0.099483266,109.76,811.52,80.24,3.85,5181.75,4.44,0.79,98.37,1.99,1346,1.89,79.91,7.28,2683.53,1994,8,16,Wildfire,Sierran Steppe,SS,4,0.5607
CA3972212119120080621,CANYON COMPLEX (SCOTCH),sample_bigger,26418,0.01635,-4.11339,0.095983326,9.81,39.97,71.02,1.31,954.45,5.54,0.71,87.73,0.48,729,1.31,70.33,1.71,352.26,2008,6,21,Wildfire,Sierran Steppe,SS,4,0.3273
CA3985212144420080814,BTU LIGHTNING COMPLEX (LONG BRANCH-JACK),sample_bigger,52091,0.00574,-5.16057,0.09978073,630.15,2062.81,81.86,3.42,5029.65,4.88,0.81,97.99,1.94,1469,1.42,81.51,4.85,2846.07,2008,8,14,Wildfire,Sierran Steppe,SS,4,0.448
CA3986612313320120818,NORTH PASS,sample_bigger,43689,0.00687,-4.98067,0.092052724,148.21,377.68,82.24,3.56,4158.9,7.17,0.81,95.56,2.03,1167,2.13,81.86,7.59,2367.27,2012,8,18,Wildfire,Sierran Steppe,SS,4,0.4514
CA3988512131319990823,MHRD COMPLEX (BUCKS),sample_bigger,34459,0.01875,-3.97648,0.101153003,3.12,29.83,68.09,1.17,982.8,4.66,0.68,87.11,0.39,840,1.31,67.44,1.53,324.09,1999,8,23,Wildfire,Sierran Steppe,SS,4,0.371
CA4001012127720120729,CHIPS,sample_bigger,79978,0.00603,-5.11094,0.096589697,342.07,721.25,81.66,2.96,6321.15,5.82,0.8,96.02,1.68,2138,2.37,81.36,7.01,3584.88,2012,7,29,Wildfire,Sierran Steppe,SS,4,0.4315
CA4002712128720000817,STORRIE,sample_bigger,49588,0.0054,-5.22071,0.101155973,503.05,1008.18,82.73,3.87,4227.3,4.97,0.82,97.34,2.26,1092,1.58,82.35,6.12,2471.49,2000,8,17,Wildfire,Sierran Steppe,SS,4,0.4733
CA4009612297920080621,YOLLA BOLLY COMPLEX (IRON),sample_bigger,94888,0.0074,-4.9062,0.096473123,503.06,446.32,78.19,1.69,3114.09,4.98,0.78,92.52,0.88,1844,1.78,77.77,3.01,1631.88,2008,6,21,Wildfire,Sierran Steppe,SS,4,0.3542
CA4010812030519870830,CLARK,sample_bigger,39194,0.00941,-4.66603,0.097866249,34.42,215.97,77.29,2.32,2282.85,4.68,0.77,94.84,1.1,984,1.15,76.8,2.68,1085.22,1987,8,30,Wildfire,Sierran Steppe,SS,4,0.4962
CA4012012175619940918,BARKLEY,sample_bigger,44256,0.00922,-4.68603,0.102840609,19.12,225.61,78.92,1.91,340.47,3.68,0.79,94.7,0.98,178,0.35,77.62,0.66,174.33,1994,9,18,Wildfire,Sierran Steppe,SS,4,0.1902
CA4017912180419990928,GUN 2,sample_bigger,61203,0.00793,-4.83752,0.107032942,320.24,1010.61,74.25,1.5,2585.7,1.76,0.73,96.87,0.68,1725,2.21,73.81,3.31,1179.63,1999,9,28,Wildfire,Sierran Steppe,SS,4,0.4696
CA4022012073620070903,MOONLIGHT,sample_bigger,65718,0.00375,-5.58673,0.099911388,1040.71,2829.23,86.6,7.21,11528.19,5.09,0.84,98.63,4.75,1598,2.5,86.36,18.07,7594.11,2007,9,3,Wildfire,Sierran Steppe,SS,4,0.6122
CA4038712182320120818,PONDEROSA,sample_bigger,28690,0.00615,-5.0919,0.098826467,698.13,5588.13,87.19,10.1,4353.48,4.61,0.86,99.46,6.65,431,0.87,86.79,8.83,2864.16,2012,8,18,Wildfire,Sierran Steppe,SS,4,0.5482
CA4049312045120120723,READING,sample_bigger,26872,0.0085,-4.76808,0.092070925,43.86,231.7,81.7,3.87,2814.12,7.87,0.8,95.4,2.12,728,2.03,81.24,7.85,1543.41,2012,7,23,Wildfire,Sierran Steppe,SS,4,0.5022
CA4049512341220080620,LIME COMPLEX (LIME),sample_bigger,27234,0.0184,-3.99551,0.097288088,33.12,31.25,68.08,1.04,1071.81,4.94,0.67,84.73,0.35,1035,2.67,67.45,2.77,362.61,2008,6,20,Wildfire,Sierran Steppe,SS,4,0.3266
CA4054612266320080621,SHU LIGHTNING COMPLEX (MOON),sample_bigger,36513,0.0085,-4.76807,0.100956606,154.7,449.21,77.65,2.43,2716.38,3.45,0.77,96.52,1.17,1116,1.87,77.2,4.55,1307.79,2008,6,21,Wildfire,Sierran Steppe,SS,4,0.48
CA4063712326820080621,LIME COMPLEX (MINERS),sample_bigger,25680,0.01214,-4.41099,0.09625723,24.57,68.69,73.74,1.53,1203.84,5.69,0.73,89.74,0.64,785,2.09,73.1,3.2,506.07,2008,6,21,Wildfire,Sierran Steppe,SS,4,0.3471
CA4064212358620150731,ROUTE COMPLEX,sample_bigger,35444,0.00553,-5.19728,0.095891143,383.13,1075.22,82.5,3,2763.9,5.23,0.82,97.44,1.74,920,1.77,82.03,5.33,1601.37,2015,7,31,Wildfire,Sierran Steppe,SS,4,0.3738
CA4065212222819991016,JONES,sample_bigger,26818,0.01475,-4.21675,0.090035405,17.12,131.29,74.47,1.78,729.99,6.06,0.74,93.01,0.73,409,0.56,73.63,1,297.99,1999,10,16,Wildfire,Sierran Steppe,SS,4,0.2215
CA4068012335620150731,PATTISON,sample_bigger,31129,0.0043,-5.44869,0.093294359,1117.03,1016.23,83.25,2.9,2718.27,6.34,0.82,95.74,1.77,937,1.85,82.77,5.35,1654.38,2015,7,31,Wildfire,Sierran Steppe,SS,4,0.436
CA4069812251020080622,SHU LIGHTNING COMPLEX (MOTION),sample_bigger,29346,0.01183,-4.43702,0.093492056,35.45,130.24,75.61,2.13,2403.72,5.9,0.74,93.32,0.93,1130,2.44,75.15,5.18,1049.22,2008,6,22,Wildfire,Sierran Steppe,SS,4,0.4883
CA4071412316220080621,IRON AND ALPS COMPLEXES (EAGLE),sample_bigger,32397,0.01031,-4.57498,0.096215232,60.94,163.21,77.06,1.86,1647.18,5.71,0.76,92.43,0.9,886,1.87,76.49,3.47,799.38,2008,6,21,Wildfire,Sierran Steppe,SS,4,0.3691
CA4072012156220140731,EILER,sample_bigger,30967,0.00517,-5.26431,0.098507707,547.36,1344.03,84.03,4.8,4174.47,4.01,0.82,98.11,2.89,870,2.02,83.64,9.69,2510.64,2014,7,31,Wildfire,Sierran Steppe,SS,4,0.5503
CA4073412017820010809,OBSERVATION,sample_bigger,67432,0.00734,-4.91399,0.107580936,357.65,812.2,73.94,1.73,2291.85,2.15,0.73,96.39,0.77,1328,1.34,73.48,2.31,1021.32,2001,8,9,Wildfire,Sierran Steppe,SS,4,0.6284
CA4074912336120080621,IRON AND ALPS COMPLEXES (CEDAR),sample_bigger,25277,0.00631,-5.06524,0.091712782,539.41,513.2,82.04,3.03,2262.6,7.38,0.81,95.2,1.74,746,2.02,81.53,6.14,1294.74,2008,6,21,Wildfire,Sierran Steppe,SS,4,0.4146
CA4083712326320080621,IRON AND ALPS COMPLEXES (BUCKHORN),sample_bigger,29445,0.0068,-4.99074,0.091920358,217.93,405.87,82.81,3.55,3106.17,7.84,0.82,95.61,2.06,876,1.8,82.36,6.39,1800.63,2008,6,21,Wildfire,Sierran Steppe,SS,4,0.39
CA4084612185219920820,FOUNTAIN,sample_bigger,62340,0.00299,-5.81178,0.101124513,1991.65,5327.5,87.45,6.78,10963.71,4.52,0.86,98.9,4.64,1618,1.97,87.2,13.34,7501.14,1992,8,20,Wildfire,Sierran Steppe,SS,4,0.6096
CA4090112136820140731,BALD,sample_bigger,39771,0.00721,-4.93246,0.09627707,81.24,467.04,80.62,3.02,2455.56,4.72,0.8,96.79,1.62,812,1.71,80.13,5.18,1312.56,2014,7,31,Wildfire,Sierran Steppe,SS,4,0.6427
CA4091312343720150731,RIVER COMPLEX,sample_bigger,78532,0.00949,-4.65768,0.092184175,77.02,156.88,78.73,2.42,5649.21,7.32,0.77,92.94,1.22,2339,2.54,78.42,6.12,2854.53,2015,7,31,Wildfire,Sierran Steppe,SS,4,0.3785
CA4099512207820120818,BAGLEY,sample_bigger,47731,0.00607,-5.10473,0.094272024,477.26,1001.11,81.37,3,3879.27,6.07,0.8,97.05,1.67,1293,2.33,80.98,7,2162.25,2012,8,18,Wildfire,Sierran Steppe,SS,4,0.4165
CA4118212024620010809,BLUE COMPLEX (BLUE),sample_bigger,30803,0.01787,-4.0246,0.103600421,6.33,80,65.35,0.99,1005.57,2.87,0.65,89.67,0.29,1020,2.42,64.73,2.38,292.23,2001,8,9,Wildfire,Sierran Steppe,SS,4,0.5114
CA4126812300220140731,WHITES,sample_bigger,34506,0.00485,-5.32945,0.093800559,382.21,556.52,85.41,4.4,4028.49,7.5,0.84,96.3,2.82,915,2.03,85,8.92,2577.15,2014,7,31,Wildfire,Sierran Steppe,SS,4,0.4746
CA4130712105620170725,COVE,sample_bigger,30884.67,0.01617,-4.12457,0.098335675,10.41,70.9,70.72,1.59,1060.02,4.31,0.7,91.57,0.56,668,1.64,70.07,2.61,373.86,2017,7,25,Wildfire,Sierran Steppe,SS,4,0.3825
CA4141212331619870830,YELLOW #2,sample_bigger,53626,0.01427,-4.24949,0.10164382,28.13,43.65,70.8,1.28,1185.03,4.8,0.7,88.14,0.49,924,1.44,70.18,1.85,456.39,1987,8,30,Wildfire,Sierran Steppe,SS,4,0.3185
CA4143512316220170626,ISLAND,sample_bigger,62931.93,0.01142,-4.47205,0.094940328,61.72,140.35,75.65,1.91,2584.17,6.02,0.75,92.28,0.85,1354,1.52,75.2,2.91,1151.73,2017,6,26,Wildfire,Sierran Steppe,SS,4,0.4666
CA4154112338120080722,PANTHER,sample_bigger,71448,0.00502,-5.29377,0.097485494,1112.1,1318.58,83.47,3.29,6793.47,6.17,0.83,96.58,2.01,2066,1.67,83.17,5.48,4156.38,2008,7,22,Wildfire,Sierran Steppe,SS,4,0.4497
CA4162312361019940722,JACK #1,sample_bigger,28007,0.01458,-4.22801,0.100589631,12.54,66.65,71.1,1.2,935.91,4.61,0.7,89.15,0.47,777,1.75,70.4,2.1,365.58,1994,7,22,Wildfire,Sierran Steppe,SS,4,0.3595
CA4163812338919870830,KING TITUS,sample_bigger,71390,0.01465,-4.22332,0.100640472,28.3,48.86,69.82,1.15,1773.72,4.68,0.69,87.53,0.42,1543,1.65,69.32,1.89,654.57,1987,8,30,Wildfire,Sierran Steppe,SS,4,0.3179
CA4178612347520170812,OAK,sample_bigger,95692.83,0.00856,-4.76088,0.100260899,118.07,245.25,78.02,2.6,6510.69,6.05,0.77,94.55,1.32,2504,2.04,77.73,5.32,3309.21,2017,8,12,Wildfire,Sierran Steppe,SS,4,0.473
CA4185212099120170726,STEELE,sample_bigger,49153.04,0.02432,-3.71651,0.100172752,3.78,12.82,61.1,0.73,212.04,3.52,0.61,78.46,0.16,292,0.5,59.83,0.36,47.97,2017,7,26,Wildfire,Sierran Steppe,SS,4,0.5251
CA4185312311520160828,GAP,sample_bigger,33940,0.00517,-5.26482,0.093117223,852.12,971.48,82.68,3.09,2987.37,6.8,0.82,95.95,1.82,967,1.88,82.23,5.81,1756.89,2016,8,28,Wildfire,Sierran Steppe,SS,4,0.4305
CA4189812322019870830,FORT COPPER,sample_bigger,36333,0.011,-4.50945,0.100274632,38.99,117.31,76.87,2.28,2372.76,5.58,0.76,93.24,1.07,1040,1.93,76.39,4.41,1110.24,1987,8,30,Wildfire,Sierran Steppe,SS,4,0.4191
CA4192412288020140730,KNF BEAVER,sample_bigger,34275,0.00495,-5.30884,0.096845436,172.31,918.73,84.65,5.28,4843.08,5.25,0.83,98.42,3.23,917,1.94,84.28,10.24,2959.11,2014,7,30,Wildfire,Sierran Steppe,SS,4,0.5428
CA4198012316420170811,ABNEY,sample_bigger,33465.46,0.00592,-5.12956,0.093666542,983.29,2548.5,83.62,3.88,3087.18,6.55,0.83,98.2,2.32,795,1.25,83.17,4.84,1841.13,2017,8,11,Wildfire,Sierran Steppe,SS,4,0.4276
OR4204812234620140731,BEAVER COMPLEX,sample_bigger,35204,0.00822,-4.80063,0.100845467,108.46,351.38,75.94,1.71,1898.01,3.25,0.75,94.6,0.81,1112,2.27,75.41,3.88,896.22,2014,7,31,Wildfire,Sierran Steppe,SS,4,0.4355
OR4211012080120120806,BARRY POINT,sample_bigger,91488,0.00746,-4.89802,0.09298005,141.94,682.12,79.94,3.34,8364.51,6.12,0.78,96.86,1.72,2508,2.27,79.68,7.58,4311.9,2012,8,6,Wildfire,Sierran Steppe,SS,4,0.4554
OR4236212395219870830,SILVER,sample_bigger,96698,0.00728,-4.92327,0.098229509,135.77,414.15,81.24,3.23,5456.79,6.46,0.8,95.82,1.8,1688,1.39,80.91,4.49,3030.57,1987,8,30,Wildfire,Sierran Steppe,SS,4,0.376
OR4261412376020130726,BIG WINDY COMPLEX,sample_bigger,28911,0.0179,-4.02289,0.091307316,0.64,25.12,70.27,1.26,997.65,6.78,0.7,85.25,0.44,791,1.75,69.6,2.21,345.24,2013,7,26,Wildfire,Sierran Steppe,SS,4,0.3439
OR4273212351520130726,DADS,sample_bigger,25216,0.00582,-5.1465,0.093527028,460.7,1142.91,84.14,3.96,2665.44,7.61,0.83,97.24,2.41,673,1.59,83.65,6.3,1623.24,2013,7,26,Wildfire,Sierran Steppe,SS,4,0.465
OR4277812272720020713,TIMBERED ROCK,sample_bigger,26809,0.00781,-4.85268,0.101055266,303.13,848.06,80.43,3.51,3242.07,4.88,0.79,97.51,1.87,923,2.29,80.01,8.04,1729.44,2002,7,13,Wildfire,Sierran Steppe,SS,4,0.5151
OR4285712358520130726,NORTH RABBIT,sample_bigger,25085,0.00721,-4.93173,0.090386658,161.1,812.25,83.76,4.54,2984.67,8.36,0.82,97.43,2.7,657,1.67,83.29,7.57,1771.02,2013,7,26,Wildfire,Sierran Steppe,SS,4,0.473
